property,species,enrichment_quantity,enriched,enrichment_state
Insulin signaling pathway,bonobo,0.72,1,enriched
Insulin signaling pathway,human,0.6739,1,enriched
Insulin signaling pathway,borangutan,0.0,0,not_enriched
Insulin signaling pathway,chimpanzee,0.6513,1,enriched
Insulin signaling pathway,gibbon,0.0,0,not_enriched
Insulin signaling pathway,sorangutan,0.0,0,not_enriched
Insulin signaling pathway,gorilla,0.0,0,not_enriched
Focal adhesion,bonobo,0.7137,1,enriched
Focal adhesion,human,0.844,1,enriched
Focal adhesion,borangutan,0.7569,1,enriched
Focal adhesion,chimpanzee,0.7324,1,enriched
Focal adhesion,gibbon,0.8042,1,enriched
Focal adhesion,sorangutan,0.7268,1,enriched
Focal adhesion,gorilla,0.0,0,not_enriched
Aldosterone synthesis and secretion,bonobo,0.6927,1,enriched
Aldosterone synthesis and secretion,human,0.0,0,not_enriched
Aldosterone synthesis and secretion,borangutan,0.0,0,not_enriched
Aldosterone synthesis and secretion,chimpanzee,0.0,0,not_enriched
Aldosterone synthesis and secretion,gibbon,0.0,0,not_enriched
Aldosterone synthesis and secretion,sorangutan,0.0,0,not_enriched
Aldosterone synthesis and secretion,gorilla,0.0,0,not_enriched
Amoebiasis,bonobo,0.6856,1,enriched
Amoebiasis,human,0.0,0,not_enriched
Amoebiasis,borangutan,0.0,0,not_enriched
Amoebiasis,chimpanzee,0.0,0,not_enriched
Amoebiasis,gibbon,0.6939,1,enriched
Amoebiasis,sorangutan,0.0,0,not_enriched
Amoebiasis,gorilla,0.0,0,not_enriched
Small cell lung cancer,bonobo,0.6777,1,enriched
Small cell lung cancer,human,0.0,0,not_enriched
Small cell lung cancer,borangutan,0.636,1,enriched
Small cell lung cancer,chimpanzee,0.6543,1,enriched
Small cell lung cancer,gibbon,0.7467,1,enriched
Small cell lung cancer,sorangutan,0.6686,1,enriched
Small cell lung cancer,gorilla,0.0,0,not_enriched
Adrenergic signaling in cardiomyocytes,bonobo,0.6732,1,enriched
Adrenergic signaling in cardiomyocytes,human,0.7345,1,enriched
Adrenergic signaling in cardiomyocytes,borangutan,0.62,1,enriched
Adrenergic signaling in cardiomyocytes,chimpanzee,0.6612,1,enriched
Adrenergic signaling in cardiomyocytes,gibbon,0.6238,1,enriched
Adrenergic signaling in cardiomyocytes,sorangutan,0.6365,1,enriched
Adrenergic signaling in cardiomyocytes,gorilla,0.0,0,not_enriched
cGMP,bonobo,0.6416,1,enriched
cGMP,human,0.5907,1,enriched
cGMP,borangutan,0.0,0,not_enriched
cGMP,chimpanzee,0.5563,1,enriched
cGMP,gibbon,0.5405,1,enriched
cGMP,sorangutan,0.0,0,not_enriched
cGMP,gorilla,0.0,0,not_enriched
Motor proteins,bonobo,0.6359,1,enriched
Motor proteins,human,0.739,1,enriched
Motor proteins,borangutan,0.751,1,enriched
Motor proteins,chimpanzee,0.7062,1,enriched
Motor proteins,gibbon,0.6804,1,enriched
