species,n_total,Kruskal_H,Kruskal_p,Kruskal_epsilon2,Kruskal_corrected
bonobo,194104,124.21953299683976,2.98354810570284e-08,0.00038247042301247476,2.98354810570284e-08
borangutan,193776,151.14765791720222,2.3893921088507225e-12,0.0005272790328464028,4.1814361904887645e-12
chimpanzee,198775,300.8270266713684,1.6340807445936365e-37,0.0012621878921084942,5.719282606077728e-37
gibbon,195784,147.25578338154534,9.164408527654872e-12,0.0005019862843529757,1.283017193871682e-11
gorilla,194293,141.08234847590617,7.482740171571572e-11,0.00047405748714705897,8.729863533500168e-11
human,205827,408.83429832189086,1.409543907141118e-39,0.0015108993346646584,9.866807349987827e-39
sorangutan,193299,194.75115504483188,5.773670585610417e-19,0.0007490434832175851,1.3471898033090973e-18
