species,n_total,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,pearson_fdr,spearman_fdr,kendall_fdr
bonobo,197548,-0.03378321963513493,5.463028155057475e-51,-0.05232211356781532,8.70533279002493e-120,-0.03986722701653251,1.3304899310023617e-119,6.373532847567054e-51,6.093732953017451e-119,9.313429517016532e-119
borangutan,195915,-0.04685636348049516,1.2016155102971748e-95,-0.048357519200988304,9.370333998229451e-102,-0.03691862560475528,1.046365585762002e-101,2.8037695240267414e-95,1.639808449690154e-101,1.8311397750835036e-101
chimpanzee,202829,-0.030527993542808638,4.962826092261607e-43,-0.042790509325920864,7.895934295125938e-83,-0.03204554329674061,1.1034418039619697e-82,4.962826092261607e-43,9.211923344313594e-83,1.2873487712889648e-82
gibbon,200097,-0.0657475052213885,1.5946669071935582e-190,-0.04847794124117425,2.1487677065924806e-104,-0.03643638775518386,1.7220203394998296e-104,5.581334175177454e-190,5.013791315382455e-104,4.018047458832936e-104
gorilla,197037,-0.039052119520934916,2.295218486403338e-67,-0.05209543921329452,1.8275219786691098e-118,-0.039760632529329806,2.17874047338498e-118,4.016632351205842e-67,6.396326925341884e-118,7.625591656847431e-118
human,213774,-0.06465765002834381,9.017351243559422e-197,-0.04172256075154413,5.4749662459342296e-83,-0.030065667339372628,4.616933453950317e-83,6.312145870491596e-196,7.664952744307921e-83,6.463706835530443e-83
sorangutan,195866,-0.03881453092815927,3.4742879743768345e-66,-0.042460631727739374,7.543921636479769e-79,-0.03231752360248534,1.1189379241990918e-78,4.864003164127568e-66,7.543921636479769e-79,1.1189379241990918e-78
