human	+	201660	-	186662	14998	0.0386226
bonobo	+	186039	-	176124	9915	0.0273772
chimpanzee	+	175210	-	175997	-787	-0.00224084
gorilla	+	192110	-	177068	15042	0.0407446
borangutan	+	200037	-	183840	16197	0.0421932
sorangutan	+	194438	-	196975	-2537	-0.00648164
gibbon	+	203292	-	197978	5314	0.013243
