human	108316	+	105456	-	2860	0.0133787
bonobo	99489	+	98053	-	1436	0.00726934
chimpanzee	102260	+	100563	-	1697	0.0083669
gorilla	99410	+	97616	-	1794	0.0091054
borangutan	98050	+	97858	-	192	0.000980052
sorangutan	98177	+	97684	-	493	0.00251709
gibbon	100206	+	99881	-	325	0.00162429
