property,species,foreground,background,enrichment_quantity,fg_bg_pair,enriched,enrichment_state
Chemical Carcinogens - ROS,borangutan,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,borangutan,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,borangutan,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,borangutan,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,borangutan,genes_without_shadow,no_bg,0.403,genes_without_shadow | no_bg,1,enriched
Chemical Carcinogens - ROS,borangutan,genes_without_shadow,all_genes,0.403,genes_without_shadow | all_genes,1,enriched
Chemical Carcinogens - ROS,borangutan,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gorilla,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gorilla,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gorilla,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gorilla,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gorilla,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gorilla,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gorilla,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gorilla,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gorilla,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gorilla,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gorilla,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gorilla,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gorilla,genes_without_shadow,no_bg,1.507,genes_without_shadow | no_bg,1,enriched
Chemical Carcinogens - ROS,gorilla,genes_without_shadow,all_genes,1.507,genes_without_shadow | all_genes,1,enriched
Chemical Carcinogens - ROS,gorilla,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,sorangutan,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,chimpanzee,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,human,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,human,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,human,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,human,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,human,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,human,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,human,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,human,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,human,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,human,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,human,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,human,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,human,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,human,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,human,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gibbon,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gibbon,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gibbon,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gibbon,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gibbon,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gibbon,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gibbon,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gibbon,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gibbon,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gibbon,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gibbon,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gibbon,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,gibbon,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,gibbon,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,gibbon,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Thermogenesis,bonobo,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Thermogenesis,bonobo,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Thermogenesis,bonobo,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Thermogenesis,bonobo,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Thermogenesis,bonobo,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Thermogenesis,bonobo,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Thermogenesis,bonobo,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Thermogenesis,bonobo,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Thermogenesis,bonobo,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Thermogenesis,bonobo,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Thermogenesis,bonobo,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
