property,species,foreground,background,enrichment_quantity,fg_bg_pair,enriched,enrichment_state
Retrograde endocannabinoid signaling,borangutan,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,borangutan,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gorilla,genes_without_shadow,no_bg,1.2554,genes_without_shadow | no_bg,1,enriched
Retrograde endocannabinoid signaling,gorilla,genes_without_shadow,all_genes,1.2554,genes_without_shadow | all_genes,1,enriched
Retrograde endocannabinoid signaling,gorilla,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
