dataset,Human,Bonobo,Chimpanzee,Gorilla,Bornean Orangutan,Sumatran Orangutan,Gibbon
CDS,0.012142,0.0238469,0.0105977,0.0290051,0.0229474,0.0278399,0.0349722
Downstream Shadow,0.00985219,0.00873151,0.00999628,0.00914606,0.000645411,0.00301758,0.00177841
SCFR,0.000516418,0.00643101,0.00454105,0.00336138,0.00155447,0.00208033,0.00550523
Total Shadow,0.0121944,0.00928709,0.00999705,0.00954211,0.00107807,0.00345403,0.0013537
Upstream Shadow,0.0133787,0.00726934,0.0083669,0.0091054,0.000980052,0.00251709,0.00162429
