property,n_species,species,n_Genes_per_species,total_pathway_genes_per_species,genes_common_in_all_species,genes_common_in_all_species_count,genes_unique_to_one_species,gene_species_count,gene_species_list,enrichment_quantity_per_species
Oxidative phosphorylation,4,bonobo; borangutan; gorilla; sorangutan,bonobo:6; borangutan:9; gorilla:11; sorangutan:9,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6; borangutan:ATP8|COX3|CYTB|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|ND2,ATP6:2|ATP8:3|COX2:1|COX3:2|CYTB:3|ND1:1|ND2:3|ND3:4|ND4:4|ND4L:4|ND5:4|ND6:4,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla,sorangutan|COX2:gorilla|COX3:borangutan,sorangutan|CYTB:borangutan,gorilla,sorangutan|ND1:gorilla|ND2:borangutan,gorilla,sorangutan|ND3:bonobo,borangutan,gorilla,sorangutan|ND4:bonobo,borangutan,gorilla,sorangutan|ND4L:bonobo,borangutan,gorilla,sorangutan|ND5:bonobo,borangutan,gorilla,sorangutan|ND6:bonobo,borangutan,gorilla,sorangutan",bonobo:0.5528; borangutan:0.6374; gorilla:2.0418; sorangutan:0.5503
Retrograde endocannabinoid signaling,2,bonobo; gorilla,bonobo:5; gorilla:6,bonobo:ND3|ND4|ND4L|ND5|ND6; gorilla:ND1|ND2|ND3|ND4L|ND5|ND6,ND3|ND4L|ND5|ND6,4,bonobo:ND4; gorilla:ND1|ND2,ND1:1|ND2:1|ND3:2|ND4:1|ND4L:2|ND5:2|ND6:2,"ND1:gorilla|ND2:gorilla|ND3:bonobo,gorilla|ND4:bonobo|ND4L:bonobo,gorilla|ND5:bonobo,gorilla|ND6:bonobo,gorilla",bonobo:0.4444; gorilla:1.2554
Chemical carcinogenesis-reactive oxygen species,3,bonobo; borangutan; gorilla,bonobo:7; borangutan:9; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|SOS2; borangutan:ATP8|COX3|CYTB|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2,ATP6:2|ATP8:2|COX2:1|COX3:1|CYTB:2|ND1:1|ND2:2|ND3:3|ND4:3|ND4L:3|ND5:3|ND6:3|SOS2:1,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla|COX2:gorilla|COX3:borangutan|CYTB:borangutan,gorilla|ND1:gorilla|ND2:borangutan,gorilla|ND3:bonobo,borangutan,gorilla|ND4:bonobo,borangutan,gorilla|ND4L:bonobo,borangutan,gorilla|ND5:bonobo,borangutan,gorilla|ND6:bonobo,borangutan,gorilla|SOS2:bonobo",bonobo:0.4042; borangutan:0.4030; gorilla:1.5070
Thermogenesis,4,bonobo; borangutan; gorilla; sorangutan,bonobo:7; borangutan:10; gorilla:11; sorangutan:10,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|SLC25A29; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|SLC25A29,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|SLC25A29; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|ND2|SLC25A29,ATP6:2|ATP8:3|COX2:1|COX3:2|CYTB:3|ND1:1|ND2:3|ND3:4|ND4:4|ND4L:4|ND5:4|ND6:4|SLC25A29:2|SOS2:1,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla,sorangutan|COX2:gorilla|COX3:borangutan,sorangutan|CYTB:borangutan,gorilla,sorangutan|ND1:gorilla|ND2:borangutan,gorilla,sorangutan|ND3:bonobo,borangutan,gorilla,sorangutan|ND4:bonobo,borangutan,gorilla,sorangutan|ND4L:bonobo,borangutan,gorilla,sorangutan|ND5:bonobo,borangutan,gorilla,sorangutan|ND6:bonobo,borangutan,gorilla,sorangutan|SLC25A29:borangutan,sorangutan|SOS2:bonobo",bonobo:0.3933; borangutan:0.4232; gorilla:1.4720; sorangutan:0.3653
Diabetic cardiomyopathy,3,bonobo; borangutan; gorilla,bonobo:6; borangutan:9; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6; borangutan:ATP8|COX3|CYTB|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2,ATP6:2|ATP8:2|COX2:1|COX3:1|CYTB:2|ND1:1|ND2:2|ND3:3|ND4:3|ND4L:3|ND5:3|ND6:3,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla|COX2:gorilla|COX3:borangutan|CYTB:borangutan,gorilla|ND1:gorilla|ND2:borangutan,gorilla|ND3:bonobo,borangutan,gorilla|ND4:bonobo,borangutan,gorilla|ND4L:bonobo,borangutan,gorilla|ND5:bonobo,borangutan,gorilla|ND6:bonobo,borangutan,gorilla",bonobo:0.3778; borangutan:0.4384; gorilla:1.6440
Amyotrophic lateral sclerosis,4,bonobo; borangutan; gorilla; sorangutan,bonobo:10; borangutan:13; gorilla:11; sorangutan:13,bonobo:ATP6|GPX1|GPX5|HNRNPA1L2|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|GPX1|GPX5|HNRNPA1L2|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|XBP1,ATP6:2|ATP8:3|COX2:1|COX3:2|CYTB:3|GPX1:3|GPX2:2|GPX5:1|GPX6:2|HNRNPA1L2:1|ND1:1|ND2:3|ND3:4|ND4:4|ND4L:4|ND5:4|ND6:4|XBP1:3,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla,sorangutan|COX2:gorilla|COX3:borangutan,sorangutan|CYTB:borangutan,gorilla,sorangutan|GPX1:bonobo,borangutan,sorangutan|GPX2:borangutan,sorangutan|GPX5:bonobo|GPX6:borangutan,sorangutan|HNRNPA1L2:bonobo|ND1:gorilla|ND2:borangutan,gorilla,sorangutan|ND3:bonobo,borangutan,gorilla,sorangutan|ND4:bonobo,borangutan,gorilla,sorangutan|ND4L:bonobo,borangutan,gorilla,sorangutan|ND5:bonobo,borangutan,gorilla,sorangutan|ND6:bonobo,borangutan,gorilla,sorangutan|XBP1:bonobo,borangutan,sorangutan",bonobo:0.3540; borangutan:0.3547; gorilla:0.8915; sorangutan:0.3062
Huntington disease,4,bonobo; borangutan; gorilla; sorangutan,bonobo:8; borangutan:12; gorilla:11; sorangutan:12,bonobo:ATP6|GPX1|GPX5|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|GPX1|GPX5; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2; sorangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2,ATP6:2|ATP8:3|COX2:1|COX3:2|CYTB:3|GPX1:3|GPX2:2|GPX5:1|GPX6:2|ND1:1|ND2:3|ND3:4|ND4:4|ND4L:4|ND5:4|ND6:4,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla,sorangutan|COX2:gorilla|COX3:borangutan,sorangutan|CYTB:borangutan,gorilla,sorangutan|GPX1:bonobo,borangutan,sorangutan|GPX2:borangutan,sorangutan|GPX5:bonobo|GPX6:borangutan,sorangutan|ND1:gorilla|ND2:borangutan,gorilla,sorangutan|ND3:bonobo,borangutan,gorilla,sorangutan|ND4:bonobo,borangutan,gorilla,sorangutan|ND4L:bonobo,borangutan,gorilla,sorangutan|ND5:bonobo,borangutan,gorilla,sorangutan|ND6:bonobo,borangutan,gorilla,sorangutan",bonobo:0.3433; borangutan:0.3891; gorilla:1.1104; sorangutan:0.3359
Parkinson disease,3,bonobo; borangutan; gorilla,bonobo:7; borangutan:10; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|XBP1; borangutan:ATP8|COX3|CYTB|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2,ATP6:2|ATP8:2|COX2:1|COX3:1|CYTB:2|ND1:1|ND2:2|ND3:3|ND4:3|ND4L:3|ND5:3|ND6:3|XBP1:2,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla|COX2:gorilla|COX3:borangutan|CYTB:borangutan,gorilla|ND1:gorilla|ND2:borangutan,gorilla|ND3:bonobo,borangutan,gorilla|ND4:bonobo,borangutan,gorilla|ND4L:bonobo,borangutan,gorilla|ND5:bonobo,borangutan,gorilla|ND6:bonobo,borangutan,gorilla|XBP1:bonobo,borangutan",bonobo:0.3387; borangutan:0.3995; gorilla:1.2172
Alzheimer disease,3,bonobo; borangutan; gorilla,bonobo:8; borangutan:11; gorilla:11,bonobo:APOE|ATP6|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:APOE|ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:APOE|ATP6|XBP1; borangutan:APOE|ATP8|COX3|CYTB|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2,APOE:2|ATP6:2|ATP8:2|COX2:1|COX3:1|CYTB:2|ND1:1|ND2:2|ND3:3|ND4:3|ND4L:3|ND5:3|ND6:3|XBP1:2,"APOE:bonobo,borangutan|ATP6:bonobo,gorilla|ATP8:borangutan,gorilla|COX2:gorilla|COX3:borangutan|CYTB:borangutan,gorilla|ND1:gorilla|ND2:borangutan,gorilla|ND3:bonobo,borangutan,gorilla|ND4:bonobo,borangutan,gorilla|ND4L:bonobo,borangutan,gorilla|ND5:bonobo,borangutan,gorilla|ND6:bonobo,borangutan,gorilla|XBP1:bonobo,borangutan",bonobo:0.2785; borangutan:0.3137; gorilla:0.9240
Pathways of neurodegeneration-multiple diseases,3,bonobo; borangutan; gorilla,bonobo:9; borangutan:13; gorilla:11,bonobo:ATP6|GPX1|GPX5|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,ND3|ND4|ND4L|ND5|ND6,5,bonobo:ATP6|GPX1|GPX5|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2,ATP6:2|ATP8:2|COX2:1|COX3:1|CYTB:2|GPX1:2|GPX2:1|GPX5:1|GPX6:1|ND1:1|ND2:2|ND3:3|ND4:3|ND4L:3|ND5:3|ND6:3|XBP1:2,"ATP6:bonobo,gorilla|ATP8:borangutan,gorilla|COX2:gorilla|COX3:borangutan|CYTB:borangutan,gorilla|GPX1:bonobo,borangutan|GPX2:borangutan|GPX5:bonobo|GPX6:borangutan|ND1:gorilla|ND2:borangutan,gorilla|ND3:bonobo,borangutan,gorilla|ND4:bonobo,borangutan,gorilla|ND4L:bonobo,borangutan,gorilla|ND5:bonobo,borangutan,gorilla|ND6:bonobo,borangutan,gorilla|XBP1:bonobo,borangutan",bonobo:0.2517; borangutan:0.2937; gorilla:0.8063
