species,log_intron_length
bonobo,2.2624510897304293
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.12057393120585
bonobo,2.0791812460476247
bonobo,1.954242509439325
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.436162647040756
bonobo,1.954242509439325
bonobo,2.1398790864012365
bonobo,1.9084850188786497
bonobo,1.99563519459755
bonobo,1.9395192526186185
bonobo,1.954242509439325
bonobo,2.296665190261531
bonobo,2.4313637641589874
bonobo,1.9084850188786497
bonobo,2.184691430817599
bonobo,2.0681858617461617
bonobo,2.2174839442139063
bonobo,1.9084850188786497
bonobo,2.1492191126553797
bonobo,1.8388490907372552
bonobo,1.9395192526186185
bonobo,1.9242792860618816
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.369215857410143
bonobo,1.968482948553935
bonobo,2.03342375548695
bonobo,2.130333768495006
bonobo,1.9822712330395684
bonobo,2.130333768495006
bonobo,1.9822712330395684
bonobo,1.9822712330395684
bonobo,2.130333768495006
bonobo,2.167317334748176
bonobo,1.9395192526186185
bonobo,2.2174839442139063
bonobo,2.0453229787866576
bonobo,2.4216039268698313
bonobo,1.9242792860618816
bonobo,2.0453229787866576
bonobo,1.9242792860618816
bonobo,2.1583624920952498
bonobo,2.1398790864012365
bonobo,2.1398790864012365
bonobo,2.03342375548695
bonobo,2.0681858617461617
bonobo,2.255272505103306
bonobo,2.03342375548695
bonobo,2.130333768495006
bonobo,1.968482948553935
bonobo,2.0681858617461617
bonobo,2.0681858617461617
bonobo,2.1760912590556813
bonobo,2.1583624920952498
bonobo,2.225309281725863
bonobo,1.8750612633917
bonobo,2.303196057420489
bonobo,2.0569048513364727
bonobo,1.954242509439325
bonobo,1.9242792860618816
bonobo,1.99563519459755
bonobo,2.184691430817599
bonobo,2.110589710299249
bonobo,2.0453229787866576
bonobo,2.369215857410143
bonobo,1.968482948553935
bonobo,1.968482948553935
bonobo,1.9395192526186185
bonobo,2.2095150145426308
bonobo,2.2405492482826
bonobo,2.0681858617461617
bonobo,2.303196057420489
bonobo,2.1398790864012365
bonobo,2.1492191126553797
bonobo,2.089905111439398
bonobo,2.2833012287035497
bonobo,2.2833012287035497
bonobo,2.2833012287035497
bonobo,2.0681858617461617
bonobo,1.9395192526186185
bonobo,1.9395192526186185
bonobo,1.9242792860618816
bonobo,1.968482948553935
bonobo,2.089905111439398
bonobo,1.9822712330395684
bonobo,1.8920946026904804
bonobo,1.8920946026904804
bonobo,2.247973266361807
bonobo,2.2624510897304293
bonobo,2.3283796034387376
bonobo,2.0681858617461617
bonobo,1.9242792860618816
bonobo,1.9395192526186185
bonobo,2.110589710299249
bonobo,2.7715874808812555
bonobo,1.9395192526186185
