species	seq_type	N	min	max	mean	q1	median	q3
human	intron	217292	0	100	45.7	37.7	43.5	52.6
human	downstream	205741	0	100	38.4	18.2	42.1	58.3
human	exitron	2566	0	97	62.3	56.1	63.3	70
human	exon	89905	0	98.9	57.1	43.2	57	70.6
human	upstream	213772	0	100	47.4	33.3	48.8	62.5
bonobo	downstream	194010	0	100	38.4	17.6	42.1	58.6
bonobo	intron	205919	0	100	45.8	37.7	43.6	52.9
bonobo	upstream	197542	0	100	47.5	33.3	49	62.5
bonobo	exon	60254	0.2	98.9	58.2	44.5	58.6	71.6
bonobo	exitron	2331	3.7	100	62.6	56.1	63.6	70.8
chimpanzee	upstream	202823	0	100	47.4	33.3	48.6	62.5
chimpanzee	intron	211926	0	100	45.7	37.7	43.5	52.7
chimpanzee	exitron	2357	3.7	97	62.3	56.2	63.5	70.4
chimpanzee	exon	74244	2.5	98.9	57.1	43.2	56.8	70.7
chimpanzee	downstream	198674	0	100	38.4	18	42	58.3
gorilla	downstream	194182	0	100	38.4	17.9	42.1	58.5
gorilla	exon	59557	0	98.9	58	44.2	58.2	71.5
gorilla	intron	206573	0	100	45.8	37.7	43.7	52.9
gorilla	exitron	2367	3.7	100	62.3	56.1	63.5	70
gorilla	upstream	197026	0	100	47.5	33.3	48.9	62.5
borangutan	exon	58777	0.8	98.8	57.7	43.9	57.9	71.3
borangutan	exitron	2396	8.7	96	61.4	54.7	62.5	69.8
borangutan	downstream	193675	0	100	38.4	18.2	42	58.3
borangutan	upstream	195908	0	100	47.3	33.3	48.6	62.4
borangutan	intron	206612	0	100	45.7	37.6	43.5	52.7
sorangutan	intron	206242	0	100	45.6	37.6	43.5	52.6
sorangutan	exon	60106	0.2	98.8	57.4	43.6	57.4	70.8
sorangutan	downstream	193201	0	100	38.3	18.2	41.8	58.3
sorangutan	exitron	2399	0	96	61.7	54.8	62.5	69.8
sorangutan	upstream	195861	0	100	47.2	33.3	48.4	62.2
gibbon	upstream	200087	0	100	47.5	33.3	49.1	62.5
gibbon	intron	213838	0	100	46	38	43.9	52.8
gibbon	exon	68038	0	97.6	57.6	43.9	57.8	71
gibbon	exitron	2663	2.2	100	61.5	54.2	62.2	70.2
gibbon	downstream	195680	0	100	38.5	18.2	42.3	58.6
