species,n_total,Kruskal_H,Kruskal_p,epsilon2,Kruskal_corrected
bonobo,197548,498.0192158992499,7.1862335346720015e-109,0.0025109175929497072,2.5151817371352007e-108
borangutan,195915,446.41498007598767,1.154034406264368e-97,0.0022684418518313714,2.019560210962644e-97
chimpanzee,202829,364.4011061705754,7.43541469366225e-80,0.0017867586313913178,1.0409580571127149e-79
gibbon,200097,470.07339539056403,8.411222979611917e-103,0.002339267521217848,1.9626186952427806e-102
gorilla,197037,514.5702209002955,1.830190326844342e-112,0.002601430316089078,1.2811332287910393e-111
human,213774,277.1270352601265,6.647049304399046e-61,0.0012870175807762816,6.647049304399046e-61
sorangutan,195866,354.9535025174871,8.371942988617735e-78,0.0018020427672275372,9.767266820054026e-78
